instance,obj_value,time
n_6-euclidean_false,3307.0,0.005790176
n_25-euclidean_false,1993.0,24.294575031
n_30-euclidean_false,1807.0,212.464485757
n_35-euclidean_false,1783.0,271.678565224
n_40-euclidean_false,2855.0,300.049718529
n_45-euclidean_false,1280.0,300.064412723
n_50-euclidean_false,884.0,300.070390241
n_55-euclidean_false,2177.0,171.790579604
n_60-euclidean_false,1821.0,300.07325066
n_65-euclidean_false,2042.0,301.018690371
n_70-euclidean_false,2668.0,300.13362481
