instance,obj_value,time
n_6-euclidean_false,3307.0,0.005923722
n_75-euclidean_false,2294.0,300.07522196
n_80-euclidean_false,657.0,300.130494213
n_85-euclidean_false,2222.0,300.124008262
n_90-euclidean_false,2968.0,300.433612374
n_95-euclidean_false,3228.0,300.139123575
n_100-euclidean_false,2953.0,300.137201499
